Week,Store,Contact id,first_name,Manager,Operations,Site,QA login,Contact Reason,Medium,Handle Team,Annotations,Policy Adherence,impact,opportunity
3,COM,038596041-7,Gannie,Sterne,Theodosia,New York,Sandeep,RR,V,Ours,Valid,Adhered,,
3,COM,618230325-5,Clarissa,Danny,Sonja,Pune,Divya,NC,E,Ours,Valid,Adhered,,
2,COM,412397981-5,Julita,Valma,Betsey,Sydney,Divya,DNR,C,Ours,Invalid,Deviated,IMPACT3,4908 Victoria Trail
1,COM,782246308-X,Bail,Ole,Lorenza,New York,Suruchi,NC,C,Others,Invalid,Deviated,IMPACT1,448 Tony Street
2,COM,886859092-1,Gar,Ryon,Tawnya,Sydney,Priyanka,WMS,V,Ours,Valid,Adhered,,
2,COM,549785038-3,Olia,Lexi,Stormie,Pune,Saugata,PM,V,Ours,Valid,Adhered,,
4,COM,559510268-3,Adam,Brietta,Sonja,London,Divya,RR,E,Ours,Invalid,Deviated,IMPACT2,1 Hintze Hill
3,COM,962425779-5,Nonna,Agathe,Sonja,Pune,Divya,PM,C,Ours,Invalid,Deviated,IMPACT5,37188 Karstens Pass
2,COM,005937289-3,Deva,Ame,Rozalie,Pune,Himabindu,WMS,E,Ours,Valid,Adhered,,
4,COM,232171748-3,Etan,Nicolea,Lorenza,New York,Suruchi,MDR,V,Ours,Invalid,Deviated,IMPACT1,58 Stone Corner Trail
2,COM,712179268-0,Sarge,Beryle,Lorenza,New York,Suruchi,WMS,E,Ours,Valid,Adhered,,
5,COM,090300211-6,Ernaline,Dew,Darnell,New York,Nagaraju,PM,V,Ours,Valid,Adhered,,
3,COM,234451076-1,Ferris,Maddie,Ardelia,Pune,Shiva,RR,C,Ours,Invalid,Deviated,IMPACT3,4 Onsgard Avenue
1,CA,093606266-5,Tessi,Valma,Betsey,Sydney,Apoorv,IM,V,Ours,Invalid,Deviated,IMPACT4,186 Mitchell Terrace
1,COM,108916779-2,Taddeusz,Brietta,Sonja,London,Suruchi,DNR,E,Ours,Valid,Adhered,,
1,COM,920701115-8,Hortense,Candra,Eugenia,London,Ruturaj,MDR,E,Ours,Invalid,Deviated,IMPACT2,923 Hazelcrest Avenue
1,COM,083398608-2,Betsey,Gardiner,Stormie,Pune,Saugata,RR,V,Ours,Valid,Adhered,,
4,COM,686069432-7,Delphine,Nicolea,Lorenza,New York,Suruchi,PM,C,Ours,Valid,Adhered,,
5,COM,807141846-3,Dru,Kamila,Stormie,Pune,Saugata,DNR,C,Ours,Invalid,Deviated,IMPACT2,00 Mayfield Lane
2,COM,387385048-6,Morse,Antone,Philbert,Pune,Sandeep,RR,C,Ours,Invalid,Deviated,IMPACT3,46649 Pankratz Terrace
3,COM,714911916-6,Josephina,Damiano,Alejandrina,Sydney,Priyanka,PM,E,Others,Invalid,Deviated,IMPACT1,820 Grasskamp Road
4,COM,203543231-6,Chandal,Devinne,Theodosia,Pune,Sandeep,MDR,V,Ours,Valid,Adhered,,
3,COM,905158964-6,Bat,Rosetta,Rozalie,Pune,Himabindu,DNR,V,Ours,Invalid,Deviated,IMPACT1,79 5th Park
4,COM,561188836-4,Zia,Edwin,Philbert,New York,Sandeep,MDR,C,Ours,Invalid,Deviated,IMPACT3,799 Clarendon Way
5,COM,557785254-4,Gary,Maddie,Ardelia,Pune,Sandeep,IM,C,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
2,COM,268669840-3,Robbin,Harmonia,Alejandrina,Pune,Priyanka,DNR,C,Ours,Invalid,Deviated,IMPACT5,704 Hooker Plaza
2,COM,920666686-X,Renate,Danny,Sonja,Pune,Apoorv,NC,E,Ours,Valid,Adhered,,
2,COM,586565707-0,Alister,Mathias,Berthe,Pune,Apoorv,DNR,V,Ours,Invalid,Deviated,IMPACT3,875 Declaration Avenue
1,COM,906023935-0,Courtney,Mathias,Berthe,Pune,Himabindu,NC,E,Ours,Invalid,Deviated,IMPACT3,4736 1st Parkway
4,COM,509673801-9,Cross,Malcolm,Eugenia,New York,Ruturaj,WMS,E,Ours,Invalid,Deviated,IMPACT3,1972 Scott Pass
4,COM,809465137-7,Belia,Dew,Darnell,New York,Ruturaj,MDR,C,Ours,Valid,Adhered,,
5,COM,318361689-0,Homerus,Ara,Carlina,New York,Suruchi,PM,V,Ours,Invalid,Deviated,IMPACT5,923 Hazelcrest Avenue
4,COM,232031395-8,Raf,Gardiner,Stormie,Pune,Saugata,MDR,V,Ours,Invalid,Deviated,IMPACT2,1 Hintze Hill
1,COM,865760435-3,Micheline,Kirby,Alec,Sydney,Saugata,IM,V,Ours,Invalid,Deviated,IMPACT4,524 Reinke Circle
2,COM,955974985-4,Jandy,Garrik,Ardelia,Pune,Shiva,PM,C,Ours,Invalid,Deviated,IMPACT5,325 Tomscot Alley
3,COM,783742934-6,Killy,Malcolm,Eugenia,New York,Priyanka,MDR,V,Others,Valid,Adhered,,
4,COM,408035357-X,Rhodia,Osbourne,Alastair,Sydney,Shiva,RR,E,Ours,Invalid,Deviated,IMPACT3,00 Mayfield Lane
4,COM,254696952-8,Nero,Harv,Stormie,Sydney,Saugata,RR,C,Ours,Valid,Adhered,,
4,CA,368242038-X,Maggi,Zaneta,Philbert,Pune,Sandeep,NC,C,Ours,Valid,Adhered,,
2,COM,267458567-6,Trenton,Kamila,Stormie,Pune,Divya,PM,C,Ours,Valid,Adhered,,
